glyph_name,sort_final,USV
.notdef,1,
.null,2,
nonmarkingreturn,3,000D
space,4,0020
exclam,5,0021
quotedbl,6,0022
numbersign,7,0023
dollar,8,0024
percent,9,0025
ampersand,10,0026
quotesingle,11,0027
parenleft,12,0028
parenright,13,0029
asterisk,14,002A
plus,15,002B
comma,16,002C
hyphen,17,002D
period,18,002E
slash,19,002F
zero,20,0030
one,21,0031
two,22,0032
three,23,0033
four,24,0034
five,25,0035
six,26,0036
seven,27,0037
eight,28,0038
nine,29,0039
colon,30,003A
semicolon,31,003B
less,32,003C
equal,33,003D
greater,34,003E
question,35,003F
at,36,0040
A,37,0041
B,38,0042
C,39,0043
D,40,0044
E,41,0045
F,42,0046
G,43,0047
H,44,0048
I,45,0049
J,46,004A
K,47,004B
L,48,004C
M,49,004D
N,50,004E
O,51,004F
P,52,0050
Q,53,0051
R,54,0052
S,55,0053
T,56,0054
U,57,0055
V,58,0056
W,59,0057
X,60,0058
Y,61,0059
Z,62,005A
bracketleft,63,005B
backslash,64,005C
bracketright,65,005D
asciicircum,66,005E
underscore,67,005F
grave,68,0060
a,69,0061
b,70,0062
c,71,0063
d,72,0064
e,73,0065
f,74,0066
g,75,0067
h,76,0068
i,77,0069
j,78,006A
k,79,006B
l,80,006C
m,81,006D
n,82,006E
o,83,006F
p,84,0070
q,85,0071
r,86,0072
s,87,0073
t,88,0074
u,89,0075
v,90,0076
w,91,0077
x,92,0078
y,93,0079
z,94,007A
braceleft,95,007B
bar,96,007C
braceright,97,007D
asciitilde,98,007E
uni00A0,99,00A0
exclamdown,100,00A1
cent,101,00A2
sterling,102,00A3
currency,103,00A4
yen,104,00A5
brokenbar,105,00A6
section,106,00A7
dieresis,107,00A8
copyright,108,00A9
ordfeminine,109,00AA
guillemotleft,110,00AB
logicalnot,111,00AC
softhyphen,112,00AD
registered,113,00AE
macron,114,00AF
degree,115,00B0
plusminus,116,00B1
twosuperior,117,00B2
threesuperior,118,00B3
acute,119,00B4
mu,120,00B5
paragraph,121,00B6
periodcentered,122,00B7
cedilla,123,00B8
onesuperior,124,00B9
ordmasculine,125,00BA
guillemotright,126,00BB
onequarter,127,00BC
onehalf,128,00BD
threequarters,129,00BE
questiondown,130,00BF
Agrave,131,00C0
Aacute,132,00C1
Acircumflex,133,00C2
Atilde,134,00C3
Adieresis,135,00C4
Aring,136,00C5
AE,137,00C6
Ccedilla,138,00C7
Egrave,139,00C8
Eacute,140,00C9
Ecircumflex,141,00CA
Edieresis,142,00CB
Igrave,143,00CC
Iacute,144,00CD
Icircumflex,145,00CE
Idieresis,146,00CF
Eth,147,00D0
Ntilde,148,00D1
Ograve,149,00D2
Oacute,150,00D3
Ocircumflex,151,00D4
Otilde,152,00D5
Odieresis,153,00D6
multiply,154,00D7
Oslash,155,00D8
Ugrave,156,00D9
Uacute,157,00DA
Ucircumflex,158,00DB
Udieresis,159,00DC
Yacute,160,00DD
Thorn,161,00DE
germandbls,162,00DF
agrave,163,00E0
aacute,164,00E1
acircumflex,165,00E2
atilde,166,00E3
adieresis,167,00E4
aring,168,00E5
ae,169,00E6
ccedilla,170,00E7
egrave,171,00E8
eacute,172,00E9
ecircumflex,173,00EA
edieresis,174,00EB
igrave,175,00EC
iacute,176,00ED
icircumflex,177,00EE
idieresis,178,00EF
eth,179,00F0
ntilde,180,00F1
ograve,181,00F2
oacute,182,00F3
ocircumflex,183,00F4
otilde,184,00F5
odieresis,185,00F6
divide,186,00F7
oslash,187,00F8
ugrave,188,00F9
uacute,189,00FA
ucircumflex,190,00FB
udieresis,191,00FC
yacute,192,00FD
thorn,193,00FE
ydieresis,194,00FF
dotlessi,195,0131
OE,196,0152
oe,197,0153
Scaron,198,0160
scaron,199,0161
Ydieresis,200,0178
Zcaron,201,017D
zcaron,202,017E
florin,203,0192
circumflex,204,02C6
caron,205,02C7
colontriangularmod,206,02D0
breve,207,02D8
dotaccent,208,02D9
ring,209,02DA
ogonek,210,02DB
tilde,211,02DC
hungarumlaut,212,02DD
u034F,213,034F
pi,214,03C0
u1000,215,1000
u1000.aiph,216,
u1000.kham,217,
u1000.med,218,
u1000.med.aiph,219,
u1000.sml,220,
u1000_u1001_u103B,221,
u1000_u103B_u1015_u103A,222,
u1001,223,1001
u1001.med,224,
u1002,225,1002
u1002.med,226,
u1002.sml,227,
u1003,228,1003
u1003.thai,229,
u1003.med,230,
u1003.med.thai,231,
u1004,232,1004
u1004.kham,233,
u1004.kinzi,234,
u1004.kinzi_u102D,235,
u1004.kinzi_u102D_u1036,236,
u1004.kinzi_u102E,237,
u1004.kinzi_u1032,238,
u1004.kinzi_u1033,239,
u1004.kinzi_u1036,240,
u1004.kinzi_u103A,241,
u1004.med,242,
u1004.med.kham,243,
u1004.kinzi.thai,244,
u1005,245,1005
u1005.med,246,
u1005.sml,247,
u1006,248,1006
u1006.med,249,
u1006.sml,250,
u1007,251,1007
u1007.med,252,
u1007.sml,253,
u1008,254,1008
u1008.med,255,
u1009,256,1009
u1009_u102C,257,
u100A,258,100A
u100A.alt,259,
u100A.med,260,
u100A_u100A,261,
u100B,262,100B
u100B.alt,263,
u100B.thai,264,
u100B.med,265,
u100B.med.thai,266,
u100B.sml,267,
u100B_u100B,268,
u100B_u100C,269,
u100C,270,100C
u100C.thai,271,
u100C.med,272,
u100C.med.thai,273,
u100D,274,100D
u100D.thai,275,
u100D.med,276,
u100D.med.thai,277,
u100D_u100D,278,
u100D_u100E,279,
u100E,280,100E
u100E.thai,281,
u100E.med,282,
u100E.med.thai,283,
u100F,284,100F
u100F.med,285,
u100F_u100B,286,
u100F_u100D,287,
u1010,288,1010
u1010.aiph,289,
u1010.kham,290,
u1010.med,291,
u1010.med.aiph,292,
u1010.sml,293,
u1010_u103D.med,294,
u1010_u103D.med.tri,295,
u1011,296,1011
u1011.aiph,297,
u1011.med,298,
u1011.med.aiph,299,
u1011.sml,300,
u1012,301,1012
u1012.thai,302,
u1012.med,303,
u1012.med.thai,304,
u1012.sml,305,
u1013,306,1013
u1013.med,307,
u1013.sml,308,
u1014,309,1014
u1014.alt,310,
u1014.thai,311,
u1014.med,312,
u1014.med.thai,313,
u1014_u1010_u103B,314,
u1014_u1010_u103C,315,
u1015,316,1015
u1015.kham,317,
u1015.med,318,
u1015.med.kham,319,
u1015.sml,320,
u1016,321,1016
u1016.med,322,
u1017,323,1017
u1017.med,324,
u1018,325,1018
u1018.med,326,
u1019,327,1019
u1019.kham,328,
u1019.med,329,
u1019.med.kham,330,
u1019.sml,331,
u101A,332,101A
u101A.aiph,333,
u101A.kham,334,
u101A.med,335,
u101A.med.aiph,336,
u101B,337,101B
u101B.alt,338,
u101B.kham,339,
u101B.kinzi,340,
u101B.kinzi_u102D,341,
u101B.kinzi_u102E,342,
u101B.kinzi_u103A,343,
u101B.long,344,
u101B.med,345,
u101B_u103B,346,
u101C,347,101C
u101C.aiph,348,
u101C.kham,349,
u101C.med,350,
u101C.med.aiph,351,
u101C.med_u103D,352,
u101D,353,101D
u101D.aiph,354,
u101E,355,101E
u101E.thai,356,
u101E.med,357,
u101E.med.thai,358,
u101E.sml,359,
u101E_u1010_u103C,360,
u101F,361,101F
u101F.small,362,
u1020,363,1020
u1020.long,364,
u1020.thai,365,
u1020.med.thai,366,
u1020_u1020,367,
u1020_u103E,368,
u1021,369,1021
u1021.thai,370,
u1021.med,371,
u1022,372,1022
u1022.aiph,373,
u1022.kham,374,
u1023,375,1023
u1023.thai,376,
u1024,377,1024
u1025,378,1025
u1026,379,1026
u1027,380,1027
u1028,381,1028
u1029,382,1029
u102A,383,102A
u102B,384,102B
u102B_u103A,385,
u102C,386,102C
u102D,387,102D
u102D_u1036,388,
u102D_uAA70,389,
u102D_uAA7C,390,
u102E,391,102E
u102E_u1036,392,
u102E_uAA70,393,
u102E_uAA7C,394,
u102F,395,102F
u102F.med,396,
u102F_u108D,397,
u1030,398,1030
u1030.med,399,
u1030_u108D,400,
u1031,401,1031
u1031.aiph,402,
u1032,403,1032
